NbDepart,NbArriv,NbAnnule,NbDevie,DelaiDepart,DelaiArriv,TaxiOut,TaxiIn
-9,-10,-1,0,14,4,0,-1
1,0,5,0,15,13,1,-1
0,0,-1,0,4,16,0,1
0,0,0,0,-5,-16,0,0
-3,-3,1,0,4,2,1,0
-8,-8,0,0,1,-1,-1,1
3,3,-3,0,6,8,0,2
0,0,-2,-1,-9,-6,1,0
0,0,0,0,7,38,1,2
0,0,0,0,-2,-2,0,0
-3,-3,0,0,16,1,0,2
0,0,2,0,10,4,1,1
0,-2,0,-2,14,9,0,0
0,0,1,-1,-2,5,1,1
-1,-1,76,11,7,13,0,8
0,0,0,0,4,5,0,0
0,-1,0,0,2,0,0,-1
2,2,17,13,9,8,1,2
-1,20,192,99,10,12,0,3
-5,2,-4,1,1,6,-1,1
0,0,1,-1,3,3,0,-1
0,1,8,2,8,5,0,1
0,0,1,-1,8,5,0,1
0,1,-1,0,-2,-5,1,-1
0,0,0,0,6,5,-1,0
0,-1,-2,0,10,10,0,0
-5,-7,5,5,6,6,0,0
-3,-5,18,0,3,6,0,1
0,0,0,0,6,7,1,1
0,0,0,0,14,5,1,-2
0,0,1,0,-3,-5,-1,0
-2,-2,18,38,9,11,0,2
0,0,1,0,7,8,0,0
0,-1,6,0,4,6,0,2
0,0,-1,0,6,-4,0,2
0,0,1,0,-4,3,0,0
0,0,0,0,-2,0,0,1
-2,-3,6,1,1,3,0,1
-1,-1,4,0,2,3,0,0
-6,0,1,0,6,5,0,1
9,9,15,14,-5,-2,0,4
0,0,0,0,-9,-1,0,1
-3,-1,1,0,15,16,1,-3
0,0,-4,0,5,1,1,1
0,0,1,0,3,2,0,0
0,-1,-1,0,11,18,0,1
0,-4,3,-1,10,8,1,1
0,0,0,0,5,12,1,1
0,1,2,-9,0,6,0,0
0,0,5,-1,-2,-1,0,0
0,0,6,0,5,6,1,2
0,0,11,0,10,10,1,1
-6,0,2,0,4,7,0,1
0,0,0,0,-1,-16,0,0
0,0,2,0,5,5,0,7
0,0,1,0,-2,-1,-1,1
0,0,1,0,7,5,1,-1
6,6,2,0,12,9,0,0
3,3,1,0,14,4,0,0
0,0,-3,0,13,3,0,-2
3,-2,-1,-2,5,6,0,0
0,-2,1,0,5,5,0,0
0,0,0,0,6,-3,0,0
0,0,-4,0,3,2,1,1
0,-1,-3,0,3,7,-1,-1
0,0,0,0,1,-11,0,1
2,0,8,0,0,3,0,2
0,0,0,0,3,6,0,1
2,2,1,1,9,9,0,4
0,0,1,0,0,11,0,0
1,1,0,0,4,5,0,2
0,0,0,0,6,7,0,-1
0,0,0,1,2,4,0,1
0,1,0,1,0,0,0,0
0,0,6,0,17,9,0,-1
0,1,0,0,3,5,1,1
0,0,1,-1,-3,-8,0,0
-3,-1,4,0,5,4,-1,-3
0,0,3,0,8,3,0,1
1,-3,10,1,12,10,-1,2
0,-1,1,5,2,2,0,0
0,0,3,0,10,17,0,1
-1,0,41,31,8,9,0,7
-1,0,-5,-40,1,6,0,2
0,-1,2,0,-1,-3,0,2
0,0,5,-1,8,7,0,3
0,0,-1,0,3,3,0,-1
0,1,-1,0,1,4,0,0
4,7,24,9,7,10,0,1
0,0,-2,0,9,3,2,1
0,0,0,0,-4,-4,-1,5
2,3,6,0,4,4,0,1
-2,1,3,2,3,3,0,0
-1,0,20,10,6,7,1,2
1,1,-1,0,-23,-21,1,2
0,0,0,0,-10,2,0,-1
-1,1,0,0,7,4,0,1
0,0,0,0,2,4,1,4
0,0,0,0,-1,-6,-1,2
0,1,-2,0,7,5,-1,0
0,0,0,0,39,10,0,-2
1,0,0,0,11,15,-1,0
0,0,-1,0,1,4,-1,0
0,0,1,0,13,7,-1,0
0,0,3,0,12,10,0,3
-1,1,2,-2,1,5,0,0
-2,2,-6,1,2,3,0,-1
0,0,1,0,4,-3,0,0
0,0,1,0,7,8,-1,-1
0,0,2,1,5,4,0,1
0,0,2,0,6,9,0,1
0,0,3,1,7,5,0,1
0,0,-3,0,5,2,0,1
2,2,133,45,11,18,0,6
0,-4,-1,-2,2,3,0,0
0,0,-1,0,-2,-2,1,2
0,0,-3,0,7,7,0,0
0,-1,1,0,6,8,-1,-1
0,0,3,0,1,18,1,0
1,0,-2,0,2,-3,0,1
0,0,-3,0,-9,-11,0,0
6,5,10,0,8,4,0,-1
0,0,-1,0,-21,-11,0,1
0,0,1,0,2,6,0,2
0,0,-1,0,9,1,1,0
0,0,0,0,-2,-2,0,1
0,1,1,1,3,0,0,0
0,0,0,0,-35,-7,0,-1
0,0,1,0,31,22,0,0
0,0,-1,0,0,3,1,0
0,-1,1,-1,3,1,0,0
0,0,0,0,4,7,0,1
0,0,4,0,3,10,1,1
0,1,1,2,8,17,0,1
0,0,7,0,4,1,0,0
-3,0,0,0,9,14,0,1
0,0,1,-2,4,6,0,0
1,1,3,0,0,4,0,0
0,0,2,0,9,14,0,3
0,0,3,1,4,6,0,1
0,0,2,0,0,1,0,0
0,0,-1,0,10,35,-1,5
-1,-1,16,-11,-1,-1,0,0
0,0,4,0,7,12,0,6
0,-2,-3,0,4,-18,-1,-1
-6,1,-13,-21,-2,0,0,0
-1,0,-2,1,5,4,0,1
-1,-1,2,9,2,2,1,-1
0,0,2,0,8,16,0,3
1,1,6,4,1,7,0,4
0,0,3,1,12,23,-2,16
0,1,-2,0,4,1,1,2
0,0,0,0,1,6,0,0
0,5,-4,0,11,15,0,0
0,0,0,0,-8,-11,-1,2
0,0,1,0,-2,-4,-1,0
0,-1,0,0,9,11,-1,2
0,0,0,0,-2,-5,0,0
1,1,5,-1,5,6,0,1
0,0,1,0,2,5,0,0
-1,0,-2,-8,0,0,-1,-1
0,0,-1,0,17,13,1,4
0,-2,3,0,5,9,0,0
0,0,0,0,21,16,0,0
0,0,1,0,-1,2,0,0
-12,-47,20,42,3,4,1,-1
0,0,11,1,7,7,1,0
0,-1,1,0,1,14,-2,1
0,0,-1,0,2,8,0,2
-9,-1,11,-1,2,3,0,0
0,0,2,0,5,9,-1,1
0,-3,0,1,16,-1,0,0
4,3,-2,0,6,2,0,0
0,0,0,0,5,4,-1,0
-2,-2,7,-1,7,5,1,0
0,0,0,0,1,2,0,4
-14,-18,2,-1,6,2,1,1
0,0,2,0,2,7,0,2
-2,-3,-1,0,-1,2,0,1
0,0,0,0,3,0,0,0
0,-1,1,0,4,3,0,0
0,0,0,0,0,0,0,0
0,0,0,0,-4,13,-1,-1
0,0,0,0,3,6,1,0
0,2,-1,0,2,6,0,0
0,0,-1,0,11,11,1,-2
-3,-1,0,0,16,22,0,1
-4,0,7,0,5,6,0,-1
0,0,7,0,18,7,1,-1
1,-1,56,3,3,3,0,2
0,0,2,2,8,3,-1,-3
0,0,9,0,7,5,0,0
-6,-5,0,1,3,7,0,0
0,0,0,0,1,15,-1,3
6,5,24,1,3,3,0,0
2,-6,73,30,9,11,1,1
0,0,-1,0,12,16,0,-2
0,0,0,0,1,22,0,-2
0,0,0,0,-8,-10,-1,0
-5,-5,-1,0,4,4,0,0
0,0,11,0,7,4,0,1
0,0,4,0,1,2,-1,2
0,0,6,0,13,17,0,1
3,-1,2,-1,-1,0,0,1
0,1,2,-13,-6,-5,-3,0
0,0,0,0,-2,-5,-1,0
0,0,0,1,7,-5,-1,-1
1,1,2,0,3,8,-1,10
0,0,16,3,-1,0,0,-3
-1,-2,4,2,-3,-1,0,-1
0,0,1,0,4,9,0,1
0,0,1,-1,9,16,0,-2
0,1,0,0,-4,-10,-1,-5
-1,0,-3,0,3,3,0,-1
0,0,2,0,-4,-4,0,2
0,0,0,0,0,0,0,0
-1,-1,-1,3,2,-2,-1,0
0,1,1,-1,-7,6,0,-5
-8,0,0,-1,-6,-6,1,-1
-17,-16,-28,5,-1,-3,-1,0
0,0,1,0,-19,-21,0,1
-2,-2,3,-1,-6,-4,1,-1
-3,-3,1,1,-5,-3,0,-1
0,0,-2,-2,-1,-15,-1,1
-5,-8,3,1,4,-1,1,-2
-7,2,-1,-2,1,1,0,0
0,0,0,0,-4,-3,1,2
0,0,0,0,-5,-5,0,0
-3,-1,-1,0,0,-1,0,-1
-89,-88,-11,4,-2,-1,0,0
0,0,-1,1,-4,-4,0,-3
0,-1,2,0,1,1,0,0
-8,-9,-2,1,-2,0,0,1
0,0,1,0,1,-8,0,0
-28,-33,20,5,-1,-3,0,0
0,0,4,0,7,1,0,-2
-1,-2,0,1,-6,-8,0,0
-11,-2,-6,0,0,-8,-1,-1
0,0,-1,0,5,11,1,0
0,0,-1,0,5,-4,0,-1
-6,-7,-4,-1,-3,-6,0,0
0,0,0,0,11,0,-1,0
-11,-14,0,-1,-8,-7,-1,0
-16,-2,-8,3,3,0,0,-1
0,0,-5,2,-4,-5,-1,0
2,1,2,0,4,2,-1,-1
0,0,6,4,6,16,1,-2
-11,-16,8,0,-7,-8,-2,-1
0,0,1,0,5,-7,1,1
-6,-2,-3,0,0,-7,-1,0
-2,-2,-1,0,-1,-1,0,-2
0,0,0,0,-1,-3,0,0
-11,-10,12,-1,2,2,0,1
-3,-2,5,1,-2,-1,0,1
0,0,0,0,5,-2,-1,0
0,-1,-7,0,-5,-6,0,0
-22,-22,-2,-1,-1,-4,-1,1
0,0,0,0,-5,-5,0,0
0,0,1,0,18,1,0,-4
0,0,0,0,-2,-2,0,1
-2,-1,0,0,6,6,1,0
0,0,-1,0,9,7,-2,-1
1,1,-13,-7,-6,-6,-1,-2
0,0,2,0,-4,1,-1,0
-6,-10,-2,-4,-2,-1,0,0
-1,-1,0,0,-5,-9,0,-1
-1,-2,-1,0,2,1,0,0
0,0,-1,0,-12,10,0,2
0,0,3,-2,6,-2,0,1
-4,-7,37,12,2,3,1,-2
-2,-2,-2,-5,2,1,0,-1
1,1,-1,0,-3,-6,0,1
-1,-1,-4,1,0,-9,0,-2
0,0,-1,0,10,0,0,1
0,0,-3,0,11,-4,0,-3
0,0,0,0,1,-1,0,0
0,0,-2,0,-6,-3,0,1
-2,-3,-2,0,8,0,0,0
0,0,0,0,-2,2,0,1
0,0,0,0,7,-1,1,-1
-1,0,1,-1,-12,1,0,0
0,0,-3,0,-8,-4,-1,0
1,1,2,0,20,49,-1,0
1,0,0,0,6,0,0,0
6,6,-1,0,6,1,-1,1
8,9,-1,1,0,3,1,-2
-9,-5,-2,0,0,-2,0,-1
0,0,2,0,14,10,-1,-1
0,0,1,0,-8,-20,-2,-1
0,0,1,0,-1,2,0,-1
0,0,-1,0,-12,2,0,-1
-2,-2,2,0,-6,0,-1,-3
0,0,0,0,4,2,0,1
0,0,0,1,2,-3,-1,2
-4,-8,-61,-25,-7,-15,-1,-4
0,0,0,0,0,-2,0,-1
0,1,-1,0,-3,6,0,1
-6,-8,0,-13,-6,-4,-1,-3
-70,-183,-35,-78,-4,-8,0,-1
-2,-3,5,-1,2,-3,0,0
-1,-12,-2,2,3,-3,0,0
-3,-3,-2,-1,-5,-6,-1,-1
0,0,-2,0,0,-1,0,1
0,0,0,0,1,2,0,1
0,0,0,0,-2,-2,0,-1
-7,1,1,1,-11,-5,0,1
-16,-16,6,-7,-5,-5,0,-1
-115,-108,13,2,6,0,1,1
-6,-6,3,0,4,4,0,1
0,0,0,0,2,5,0,1
-1,-2,-1,0,-1,2,0,0
-131,-113,27,-38,1,-1,0,-1
-2,-2,-2,0,-15,-12,0,0
-7,1,4,0,5,4,0,-3
0,-1,0,0,2,-7,0,3
0,0,-1,0,-11,-14,-1,0
0,0,0,0,6,5,0,0
-2,0,2,-1,-4,-8,0,-1
-3,-4,10,0,-2,-5,0,0
-4,-4,10,-1,-5,-3,0,-1
-3,-3,-7,-34,1,-5,0,1
0,0,0,0,-5,-6,0,0
-11,1,-3,1,1,-11,0,3
-1,-2,1,0,-4,-2,0,0
0,0,-1,0,7,3,0,0
-7,1,1,0,-12,-16,0,-3
-7,1,-2,0,-10,-6,-1,-2
-1,-2,3,1,-5,-7,0,-2
-3,-4,1,-1,0,-8,0,-1
0,0,-7,0,-7,-1,0,2
0,1,5,0,3,2,0,-2
-5,-5,-11,0,2,3,-1,-2
-2,-1,-4,1,-1,0,0,-1
0,0,0,0,-8,-3,0,2
0,0,0,0,-8,-3,0,-3
4,3,-1,0,6,4,1,0
0,0,8,0,1,0,0,0
2,3,0,1,-3,-5,0,0
0,0,-1,0,2,7,0,-1
0,0,4,0,-1,-15,0,-1
1,-2,-2,-1,-5,-5,0,0
-7,-7,0,-1,0,-5,0,0
0,0,0,1,-10,-7,0,-1
0,0,0,0,6,10,-1,-3
-7,1,1,0,13,8,0,3
0,0,0,0,-3,11,0,-1
-9,-1,-5,0,3,-3,0,-1
0,0,-1,0,-3,-6,0,0
1,1,-3,2,-4,-5,0,-2
0,0,0,0,2,-6,-1,-1
-4,-4,3,0,-3,-4,0,-1
0,0,0,0,4,4,-1,2
0,0,1,-1,7,0,0,-2
0,-1,0,-1,0,0,0,0
0,-6,0,1,-6,-2,1,-1
0,0,-1,0,1,-2,0,-1
-1,-1,1,0,8,-1,-1,0
-4,1,3,0,2,-1,0,1
-6,-6,1,0,-5,-4,0,-1
-4,-1,-4,-1,2,3,1,-2
-1,0,2,-5,-5,-6,-1,0
3,4,0,0,1,-2,1,-1
-17,-23,-6,-28,-8,-7,1,-5
-4,-4,0,-2,-2,-5,0,-4
-10,1,-2,1,-1,4,0,3
-6,-4,-7,-1,-6,-8,0,-1
0,0,0,0,1,-1,0,-1
0,0,1,0,7,3,0,0
-15,-12,-17,14,-1,-5,0,-1
-1,0,1,0,-11,-7,-1,-1
-1,-2,6,0,6,2,0,1
-23,-17,-5,0,-1,-4,0,-2
-8,-8,-2,-2,-2,-5,-1,0
-36,-33,-27,-10,-6,-7,-1,-1
0,0,3,0,31,32,0,0
0,0,0,0,2,0,0,4
-9,-10,-4,1,-3,-3,0,0
0,0,0,0,-3,-2,-1,-3
0,0,0,0,-2,1,1,-2
-1,0,0,0,-2,-2,0,-1
0,0,0,0,-16,9,-1,3
0,0,0,0,-1,-13,0,1
0,0,1,0,7,0,1,1
0,0,0,0,0,-6,0,0
0,0,-2,0,9,-3,-1,-4
1,0,-3,0,10,4,0,0
-5,-10,-1,-1,-2,0,0,0
0,0,-1,0,3,3,0,1
0,0,-1,0,-5,-8,0,-1
-11,-3,8,-1,-4,-6,0,-1
0,0,4,0,6,-4,0,0
-5,-5,5,1,-1,-2,0,0
0,1,-1,0,1,3,1,-1
35,32,-131,-47,-4,-10,0,-4
-4,-4,3,3,1,-1,0,0
-1,-1,1,1,-4,-6,-1,-3
-3,-3,3,0,-3,-4,0,-1
-12,0,-1,0,2,-3,2,3
-5,-3,-3,1,8,-7,-1,4
0,0,0,0,6,4,0,0
0,0,2,0,7,4,0,0
-7,-13,-4,1,-2,0,0,0
0,-1,1,-1,5,4,0,0
-1,-1,0,0,4,5,0,1
0,0,1,0,2,4,0,1
0,0,0,0,14,17,0,2
0,-1,1,-1,-2,-2,0,0
0,0,1,0,3,9,0,3
0,0,0,0,-8,1,-1,-1
-3,-3,-1,0,-2,-2,-1,-1
0,0,-1,0,0,-1,0,-1
2,2,0,0,-1,-2,1,-2
-5,-5,-2,0,-1,2,0,0
-2,-3,-1,-1,-6,-7,1,1
-2,-2,-6,0,-3,-8,0,-1
-9,-2,0,0,13,-6,0,0
-7,-2,7,0,-5,-5,0,0
-1,-1,2,-1,-1,-3,0,0
0,0,-1,0,2,-7,0,-3
-4,-7,11,12,2,-2,0,-1
0,0,-3,0,3,6,-1,1
0,0,2,0,-4,-44,1,-4
-54,-52,-1,7,-1,-4,0,-1
0,0,-1,0,3,-2,0,-4
0,2,3,0,12,16,1,0
-18,-20,1,1,-5,-5,0,0
1,-1,5,-1,-3,-5,0,-1
-4,-7,10,5,0,-4,-1,0
0,0,2,0,-8,-19,1,-4
-1,-9,-5,-3,-7,-17,-1,-1
0,0,-3,-1,2,0,1,-7
-1,0,1,0,-1,3,0,-1
0,0,1,0,1,-5,0,0
0,1,-3,1,5,-1,0,0
0,0,0,0,13,7,1,-2
-1,-1,-2,0,3,3,0,0
-11,-4,0,0,-9,-10,0,1
0,0,0,0,17,17,1,1
-1,-2,3,1,-3,-4,0,0
0,0,-1,0,-22,-31,-1,-1
-20,-23,4,0,-2,-5,0,-1
0,0,4,0,-12,-4,-1,-4
-11,-16,6,1,1,2,0,-1
0,0,0,0,-4,8,0,1
0,0,0,0,-2,1,0,0
-8,-28,10,-45,-1,3,-1,0
-1,-1,-6,-1,-4,-4,-1,-2
-6,1,0,0,1,-7,1,1
0,0,2,0,14,4,0,-1
-15,-15,-8,1,1,-2,0,1
-4,-4,-2,0,10,-6,0,1
0,-4,0,-1,-1,9,0,0
0,1,3,0,-3,-1,0,0
0,0,1,0,2,2,0,1
-7,-7,5,15,-2,-4,0,0
-2,-2,0,0,8,-6,0,-3
-13,-15,6,11,-2,-4,0,-1
0,0,3,0,1,-13,0,-2
-12,-3,-3,0,-7,0,-1,-1
0,0,0,0,0,1,0,0
0,1,0,0,4,-1,0,0
0,1,0,1,0,0,0,0
0,0,-1,0,10,-13,0,-1
-1,-1,0,0,6,-3,0,0
-2,-3,0,0,-2,-6,0,0
0,0,2,0,1,-2,0,1
-4,1,3,0,-8,-10,1,-2
-7,2,-5,0,-10,-5,0,1
-1,-3,-3,1,3,13,0,-2
-6,-3,-8,-7,7,9,1,-2
0,0,-2,-2,-27,-28,1,1
-5,-4,-3,0,-6,-8,0,-1
0,1,-2,-1,-3,-4,0,1
0,0,1,0,1,-5,0,2
-47,-43,-16,1,-5,-6,0,1
-128,-137,-43,-19,-5,-7,-1,-2
0,0,2,0,7,-6,0,-1
0,0,0,0,16,-25,0,-1
0,0,0,0,7,-1,0,2
-3,-3,0,0,-4,-3,0,0
-4,-6,-5,0,-5,-5,0,1
-4,-4,-4,0,-7,-4,-1,-2
6,7,-8,0,-11,-9,-1,-1
-2,-8,0,-1,2,2,0,-1
-2,-2,-7,0,-8,-7,0,0
0,0,0,0,1,4,0,-1
0,0,0,-1,-6,-3,0,-1
-6,-6,-2,0,7,1,0,-6
-2,-2,-3,0,-4,-6,0,0
-14,-14,-1,-2,-4,-6,0,3
0,0,2,0,2,-3,-1,-2
0,0,0,0,24,-6,0,2
0,0,-1,0,-15,-15,0,1
-7,-1,-2,-1,-8,-14,-1,-1
0,0,-1,0,16,15,0,3
0,0,0,0,0,0,0,0
-17,-17,2,-3,-2,0,0,0
0,0,-1,0,-3,-8,0,0
-2,-2,-2,0,-5,-8,-1,-1
-26,-30,-21,-4,-7,-7,0,-3
0,0,-1,0,3,2,0,2
-2,-2,-1,0,3,-6,0,0
5,5,-2,-1,-7,-9,0,-2
0,0,1,0,-2,12,1,0
-34,-32,-4,-1,-12,-15,-1,-2
-16,-21,1,-2,-3,-4,0,0
0,0,0,0,-2,-1,-1,-2
0,0,0,0,2,2,0,0
-11,1,-2,2,-9,-9,0,-1
-36,-40,7,-3,-4,-5,0,-1
-2,3,-5,-2,-9,-9,0,0
0,1,-2,0,-3,0,0,0
-13,-12,-1,0,-7,-10,0,-1
4,4,-5,0,-11,-12,0,-1
-228,-203,-88,-51,-9,-9,-1,-3
-4,0,-4,0,-12,-8,1,0
-1,0,-7,-1,-5,-9,0,-2
-2,-3,-4,0,-10,-11,0,-1
0,0,0,0,-10,-17,0,0
0,0,0,0,-15,-10,-1,-1
-6,-7,4,0,-2,-5,0,-1
0,1,-2,1,-13,-12,0,-1
-22,-18,-7,-1,-7,-8,0,-1
-9,-3,-7,-3,-5,-12,1,-1
0,-1,0,-2,-3,-5,0,0
0,0,-3,0,-7,-12,0,-1
0,0,-6,-4,-20,-13,0,0
-30,-27,-4,2,-4,-8,0,0
0,0,-2,0,-13,-4,0,-1
0,-1,-8,0,-5,-7,0,-1
-1,-1,0,0,-5,-13,0,0
0,0,0,0,-1,1,0,0
-26,-27,-9,0,3,-2,0,1
-14,-12,1,0,-1,-4,0,-1
0,0,1,0,-10,-8,1,-1
-6,-7,0,-1,-4,-4,0,0
-38,-39,11,0,-7,-8,0,-2
0,0,0,0,10,12,0,-1
0,0,-1,0,-10,-23,-2,-1
0,0,0,0,5,4,0,1
1,0,-2,0,-2,-6,0,-1
0,0,1,0,-9,7,0,0
1,1,4,1,-5,-5,0,0
0,0,-3,0,-7,-12,0,0
-60,-58,4,3,-2,-3,0,-1
-6,-6,-4,1,-6,-9,0,0
-7,-6,1,1,-6,-8,0,-1
0,0,2,0,-1,-42,-1,-3
-6,-2,0,0,-4,-5,0,-1
-86,-89,-103,-14,-13,-16,-1,-3
-7,-7,-4,-1,-13,-15,0,0
0,0,1,0,1,1,-1,-1
-1,-1,2,0,-3,-5,0,0
0,0,-1,0,-11,1,0,-1
0,0,0,0,-9,-5,0,2
0,0,0,0,-1,0,0,0
-2,-2,0,0,-4,-12,0,-2
1,3,-10,0,-18,-16,0,-1
0,0,0,0,34,34,0,0
0,0,0,0,2,0,0,-2
0,0,-1,0,-6,-12,0,0
-5,-1,0,0,-7,-6,0,-1
0,0,-3,0,-17,-55,0,4
-1,0,0,0,-10,-12,0,7
-6,-6,0,1,-8,-8,0,-1
0,-1,0,-1,-1,-4,-1,0
-13,-10,-2,2,-7,-10,0,0
0,0,-2,0,-11,-7,0,1
0,0,-1,0,8,-27,2,0
0,0,-1,0,0,-2,0,1
0,0,0,0,-5,-4,0,1
-7,-3,-3,0,-7,-10,0,-2
0,3,1,3,-18,-13,0,-1
-4,-4,-1,-1,-2,-5,0,-4
-14,-9,-40,-3,-6,-9,1,-5
0,0,0,0,-3,-2,0,1
-2,-2,2,0,-2,-7,0,-1
6,9,-18,0,-10,-13,0,0
-27,-118,46,41,-7,-7,0,-2
-6,-6,-7,0,-9,-13,-1,0
-1,-4,-1,-2,-13,-12,-1,0
11,11,2,0,-7,-9,1,-1
0,-3,2,0,-6,-5,0,0
0,0,0,0,-1,0,-1,1
0,0,0,0,5,4,0,0
0,0,-2,-1,1,-11,0,0
-33,-32,-6,1,-4,-5,0,1
-146,-150,-32,1,-4,-1,1,-1
5,5,-7,0,-8,-13,0,-2
0,0,0,0,41,31,-1,-2
-6,-5,1,0,-3,-8,-1,0
-227,-241,-56,6,-8,-4,0,-1
-12,-13,1,0,-6,-9,0,1
0,0,-5,0,-25,-20,1,0
0,0,1,0,-14,-2,0,-5
-3,-3,1,0,-6,2,0,1
-1,-2,0,0,-6,-3,0,0
2,0,-11,0,-6,-8,-1,-1
3,3,66,14,-6,-9,0,-1
3,3,-7,0,-8,-12,0,-1
-29,-24,-5,-1,-8,-8,-1,-7
0,0,0,0,-1,-3,0,-1
-5,0,1,-1,-16,-6,0,-3
-7,-6,-4,4,-7,-12,-1,-2
0,0,2,0,-3,-1,0,0
0,0,-1,0,-5,-3,0,1
-2,-3,5,0,-5,-4,1,1
-6,-5,-6,-1,-7,-9,-1,0
-16,-15,37,0,-8,-9,0,0
2,2,-2,0,-10,-12,0,-3
3,6,-8,0,-12,-11,0,0
8,8,-1,0,-12,-19,0,-1
0,0,-5,0,-10,-14,0,0
0,0,0,0,12,18,0,1
-6,-6,-2,0,-5,-11,0,-3
10,11,1,0,-5,-3,0,-1
0,0,-8,0,-7,-9,-1,1
11,10,-2,-1,-8,-7,0,-1
0,0,0,0,-15,-14,0,-2
0,0,-2,0,-17,-6,1,4
-13,-10,1,0,-1,-3,0,0
-6,-7,-2,0,-5,-5,0,-1
0,0,0,-1,4,12,0,1
-5,-1,-1,0,-13,-10,1,4
0,0,-3,0,-18,-16,0,-2
0,0,0,0,-5,-23,0,-3
-3,-3,-3,0,-11,-13,-1,0
0,0,0,0,1,0,1,-2
11,7,-4,-1,-9,-11,0,-1
0,0,1,0,-7,-6,0,0
-10,-11,-5,0,-7,-9,0,-1
0,0,0,0,2,-10,0,0
1,1,-6,0,-12,-11,0,1
0,0,0,0,0,0,0,0
0,-1,-2,-1,-3,-15,-1,-2
0,0,1,0,0,0,0,1
-1,-1,-2,0,-18,-18,1,-1
0,0,-7,0,-8,-8,1,-1
-4,-4,-1,0,-10,-5,0,0
-5,0,-1,0,-18,-20,0,-1
-3,-2,-1,0,-7,-9,0,0
5,4,-3,0,-9,-14,-1,1
-90,-86,-38,-3,-11,-13,-2,-8
-9,-8,14,1,-4,-4,0,1
-4,0,-2,-1,-9,-15,0,-5
-3,-5,-4,0,-8,-10,1,-3
0,0,1,0,-5,-4,0,1
0,1,-1,1,-4,-4,0,0
-52,-44,-16,-12,-7,-9,-1,0
2,0,0,0,0,-9,0,0
-6,-5,-9,0,-8,-15,0,-4
-41,-49,-14,0,-8,-9,0,0
-44,-45,1,0,0,-4,1,0
-114,-117,-10,2,-7,-5,0,-1
0,0,-4,0,-8,-9,0,-1
0,0,1,0,-4,-4,0,-6
-21,-20,-4,0,-7,-9,0,0
0,0,-2,0,-7,-20,0,0
0,0,0,0,3,-13,-1,-4
1,0,0,0,-5,-4,0,0
0,0,0,0,-29,-19,1,-3
0,0,0,0,-8,-5,0,-1
0,0,-1,0,-7,-3,0,-1
0,0,-2,0,-12,-3,0,0
-5,-1,0,0,-36,-10,1,-1
0,0,-1,0,-15,-16,0,-1
-12,-11,8,7,-2,-4,0,1
0,0,0,0,-10,-11,0,-2
0,0,0,0,-3,-1,0,2
-3,-2,-19,0,-6,-7,0,0
0,0,-8,0,-11,-8,1,1
